company_clean,company,sector,sector_group,revenue_band,revenue_rank,employee_band,employee_rank,company_score,reviews_count
"""K"" Line America, Inc.","""K"" Line America, Inc.",,,,,,,5.0,1.0
#Teamgohealth,#TeamGoHealth,,,,,,,,
#Twiceasnice Recruiting,#twiceasnice Recruiting,,,,,,,,
(Qsi) - Quality Systems Integrators,(QSI) - Quality Systems Integrators,,,,,,,,
"(Saipsit, Inc. Has Multiple Openings In Houston,...","(Saipsit, Inc. has multiple openings in Houston,...",,,,,,,,
(Un)Common Logic,(un)Common Logic,Advertising and Public Relations,Consulting,,,XS,2.0,5.0,2.0
0 Percent,0 percent,Asset and Investment Management,Finance,,,,,,
"1 Connect Group, Llc","1 Connect Group, LLC",Human Resources,Human Resources,,,,,,
1 Hotel West Hollywood,1 Hotel West Hollywood,Tourism and Accommodation,Tourism and Accommodation,,,XL,6.0,4.2,100.0
1 Point System,1 Point System,,,,,,,,
1 Point System Llc.,1 Point System LLC.,IT Support,Information Technology,,,,,,
1 Resource Group,1 Resource Group,Management and Consulting,Consulting,XXS,1.0,,,,
"1 Tom Plumber, Llc","1 Tom Plumber, LLC",General Repair and Maintenance Services,Construction,,,,,,
1-800 Accountant,1-800 ACCOUNTANT,,,,,,,,
1-800-Flowers.Com,1-800-Flowers.com,Wholesale and Retail Sales,Sales,XL,6.0,XL,6.0,3.6,365.0
1-800-Packouts Of Ga Llc,1-800-Packouts of GA LLC,,,,,,,,
1-800Accountant,1-800Accountant,,,,,,,,
1/St,1/ST,,,,,,,,
10 Federal Partners Inc.,10 Federal Partners Inc.,,,,,,,,
100 Thieves,100 THIEVES,Media Communications,Media Communications,,,XS,2.0,,
"1010-Applied Fp Holdings, Llc","1010-Applied FP Holdings, LLC",,,,,,,,
1021 Creative,1021 Creative,Audiovisual and Media Communications,Media Communications,,,XS,2.0,,
108700,108700,,,,,,,,
"109 Holdco, Llc","109 Holdco, LLC",Real Estate Management,Real Estate,,,,,,
10X Recruiting Partners,10X Recruiting Partners,,,,,,,,
11 Residential,11 Residential,Real Estate,Real Estate,,,S,3.0,3.4,46.0
1100-Applied Industrial Technologies,1100-Applied Industrial Technologies,,,,,,,,
1199Seiu Benefit And Pension Funds,1199SEIU Benefit and Pension Funds,Healthcare,Health,XL,6.0,XL,6.0,3.9,291.0
1199Seiu Training And Employment Funds,1199SEIU Training and Employment Funds,Healthcare,Health,XL,6.0,XL,6.0,3.9,291.0
11:59:00,11:59:00,,,,,,,,
11T Services,11T Services,Real Estate,Real Estate,,,S,3.0,3.5,8.0
12Th Tribe,12th Tribe,,,,,,,,
137300,137300,,,,,,,,
154200,154200,,,,,,,,
16 Points Holdings Llc,16 Points Holdings LLC,Asset and Investment Management,Finance,,,,,,
160Over90,160over90,Bars and Nightclubs,Entertainment,XS,2.0,XS,2.0,2.4,19.0
174000,174000,,,,,,,,
180 Multifamily Management,180 Multifamily Management,Real Estate Management,Real Estate,,,,,,
1825,1825,,,,,,,3.0,2.0
1840 & Company,1840 & Company,Information Technology,Information Technology,,,,,4.0,5.0
"1859, Inc.","1859, Inc.",,,,,,,,
1904Labs,1904labs,Information Technology,Information Technology,XXS,1.0,S,3.0,,
1906,1906,,,,,,,5.0,1.0
193900,193900,,,,,,,,
1979,1979,Support Services for the Agricultural Sector,Agrarian,,,,,3.8,4.0
1A Auto Parts,1A Auto Parts,Auto Parts Stores,Sales,M,4.0,M,4.0,2.8,89.0
1C410 Builder Services Llc,1C410 Builder Services LLC,"Construction, Repair, and Maintenance Services",Construction,,,,,,
1Consultingsolution,1ConsultingSolution,,,,,,,,
1Nation,1Nation,Information Technology,Information Technology,XXXS,0.0,XXXS,0.0,,
1Nce,1NCE,Telecommunications,Information Technology,,,M,4.0,,
1Source Talent Acquisition,1Source Talent Acquisition,Human Resources Consulting,Human Resources,,,,,,
1St American Courier Llc,1st American Courier LLC,Transportation and Logistics,Transportation and Logistics,,,XS,2.0,3.4,10.0
1St Day School Supplies,1st Day School Supplies,Wholesale and Retail Sales,Sales,,,,,4.1,29.0
1St Edge,1st Edge,,,,,XS,2.0,,
1St Source Bank,1st Source Bank,Finance,Finance,,,,,3.6,119.0
1St Summit Bank,1ST SUMMIT BANK,,,S,3.0,S,3.0,3.3,6.0
1St-Recruit,1st-Recruit,,,,,,,,
1Stdibs.Com,1stdibs.com,Information Technology,Information Technology,,,M,4.0,4.2,5.0
1Uphealth,1upHealth,IT Support,Information Technology,,,,,,
200 Cooper-Standard Automotive Inc,200 Cooper-Standard Automotive Inc,,,,,,,,
"2020 Companies, Inc.","2020 Companies, Inc.",Advertising and Public Relations,Consulting,M,4.0,XXL,7.0,3.9,366.0
21.Co,21.co,,,,,,,3.0,1.0
211 Palm Beach,211 Palm Beach,,,,,,,3.0,1.0
211 San Diego,211 San Diego,NGOs and Nonprofit Organizations,Nonprofit Organizations,,,,,3.1,28.0
215 Holding Company,215 Holding Company,Banking and Credit Services,Finance,,,,,,
217900,217900,,,,,,,,
21C Museum Hotels,21c Museum Hotels,Tourism and Accommodation,Tourism and Accommodation,XS,2.0,XL,6.0,3.0,126.0
"21Tech, Llc","21Tech, LLC",,,,,,,,
2311 Racing Llc Fka Racing Acquisitions Llc,2311 RACING LLC fka Racing Acquisitions LLC,,,,,,,,
"24 Karat Ventures, Llc","24 Karat Ventures, LLC",Hospitals and Health Centers,Health,,,,,5.0,1.0
"24-7 Restoration, Inc.","24-7 Restoration, Inc.",,,,,,,,
246200,246200,,,,,,,,
247Hire,247hire,Information Technology,Information Technology,,,,,,
25 Financial,25 Financial,Asset and Investment Management,Finance,,,,,,
"26 Health,Inc","26 Health,Inc",,,,,,,,
2Csi,2CSI,,,,,,,3.0,2.0
2Hb Incorporated,2HB Incorporated,,,XXS,1.0,XS,2.0,,
2Mnext,2MNEXT,,,,,,,,
2Nd Order Solutions,2nd Order Solutions,,,,,,,,
2Nd Watch,2nd Watch,,,XS,2.0,S,3.0,3.6,10.0
2Ndwave Llc,2ndWave LLC,Business Consulting,Consulting,,,XS,2.0,,
2Secure Corp,2Secure Corp,IT Support,Information Technology,,,,,,
2U,2U,Information Technology,Information Technology,M,4.0,XL,6.0,3.2,124.0
3 Day Blinds,3 Day Blinds,Wholesale and Retail Sales,Sales,M,4.0,M,4.0,3.6,217.0
3 Day Blinds (Corporate),3 Day Blinds (Corporate),,,,,,,,
3 Dots It Solutions,3 Dots IT Solutions,,,,,,,,
313 Presents,313 Presents,,,,,,,5.0,1.0
314E Corporation,314e Corporation,Healthcare,Health,XS,2.0,S,3.0,3.6,17.0
32 Degrees,32 DEGREES,Wholesale and Retail Sales,Sales,,,S,3.0,4.0,6.0
340Basics,340Basics,Hospitals and Health Centers,Health,,,,,,
350.Org,350.org,NGOs and Nonprofit Organizations,Nonprofit Organizations,XXXS,0.0,XXXS,0.0,3.7,9.0
"360 Equipment Finance, Llc","360 Equipment Finance, LLC",,,,,,,,
360 Headhunter,360 Headhunter,Staffing and Outsourcing,Human Resources,,,,,,
360Care,360care,Healthcare,Health,,,L,5.0,3.2,100.0
360Insights,360insights,Information Technology,Information Technology,XS,2.0,M,4.0,3.4,34.0
360Training,360training,Education,Education,S,3.0,M,4.0,3.4,57.0
365 Labs,365 Labs,,,,,,,,
365 Retail Markets,365 Retail Markets,Consumer Products and Services,Sales,XXS,1.0,S,3.0,3.5,16.0
3Aware,3Aware,Software Development,Information Technology,,,,,,
3Bg Supply Co,3BG Supply Co,Manufacturing,Product Manufacturing,,,XS,2.0,4.4,14.0
3Cdc,3CDC,"Construction, Repair, and Maintenance Services",Construction,,,S,3.0,4.1,12.0
3Cloud,3Cloud,,,,,XS,2.0,,
3Core Systems Inc,3Core Systems Inc,,,XS,2.0,XS,2.0,4.0,2.0
3Core Systems Inc.,3Core Systems Inc.,,,,,,,,
3D Glass Solutions,3D Glass Solutions,,,,,,,3.5,2.0
3D Systems,3D Systems,Manufacturing,Product Manufacturing,L,5.0,XL,6.0,3.2,106.0
3Degrees,3Degrees,,,,,,,5.0,1.0
3E,3E,Wholesale Trade,Sales,,,S,3.0,3.6,28.0
"3G Federal Solutions, Llc","3G Federal Solutions, LLC",IT Support,Information Technology,,,,,,
3M,3M,Manufacturing,Product Manufacturing,XXXL,8.0,XXXL,8.0,3.9,5146.0
3Md Inc.,3MD Inc.,,,M,4.0,M,4.0,,
3P Partners,3P Partners,,,,,XS,2.0,,
3Sixty Innovation Inc.,3sixty Innovation Inc.,Taxi Services and Private Passenger Transportation,Transportation and Logistics,,,,,,
3T Consulting Group,3T Consulting Group,Management and Consulting,Consulting,,,,,,
4 Arrows Consulting,4 Arrows Consulting,,,,,,,,
415 Group,415 Group,Accounting and Taxes,Finance,XS,2.0,S,3.0,3.0,1.0
47,47,Government and Public Administration,Government,,,,,3.5,2.0
48Forty Solutions,48forty Solutions,Wood and Paper Manufacturing,Product Manufacturing,,,XL,6.0,2.8,296.0
4A Consulting Llc,4A CONSULTING LLC,,,,,,,,
4Creeks,4Creeks,,,,,,,,
4Creeks Inc.,4Creeks Inc.,,,,,,,,
4D Systems,4D Systems,,,XS,2.0,XS,2.0,4.4,7.0
4Es Corporation,4ES Corporation,Healthcare,Health,,,,,,
"4G Clinical, Llc","4G Clinical, LLC",,,,,,,,
4Liberty,4Liberty,,,,,XS,2.0,1.0,2.0
"4M Research, Inc.","4M Research, Inc.",,,,,,,,
4Media Group,4media group,Advertising and Public Relations,Consulting,,,XS,2.0,3.5,4.0
4Pexonic Inc.,4PEXONIC INC.,,,,,,,,
4S,4S,Transportation Management,Transportation and Logistics,,,,,3.6,9.0
4Th Dimension Properties Llc,4th Dimension Properties LLC,Real Estate,Real Estate,,,,,,
4Urhires Inc,4urHires INC,Staffing and Outsourcing,Human Resources,,,,,,
5 Minute Pharmacy,5 Minute Pharmacy,Medical Examinations and Clinical Laboratories,Health,,,S,3.0,3.1,15.0
50 Bowery,50 Bowery,,,,,,,3.0,1.0
"52,26","52,26",,,,,,,,
52.26,52.26,,,,,,,,
55 Silver,55 SILVER,Staffing and Outsourcing,Human Resources,,,,,,
57Blocks,57Blocks,,,,,,,,
5River Cre,5River CRE,Real Estate Management,Real Estate,,,,,,
5Wpr,5WPR,Advertising and Public Relations,Consulting,,,M,4.0,3.8,27.0
606 Marketing Agency,606 Marketing Agency,Staffing and Outsourcing,Human Resources,,,,,,
61St Street Service Corporation,61st Street Service Corporation,Healthcare,Health,S,3.0,XL,6.0,3.4,37.0
640 Acres,640 Acres,,,,,,,,
6K Inc,6K Inc,,,,,,,2.0,1.0
"6K Systems, Inc.","6k Systems, Inc.",Aerospace and Defense,Government,,,,,3.4,34.0
6Sense,6sense,Information Technology,Information Technology,,,XL,6.0,5.0,2.0
7 Brew Coffee,7 Brew Coffee,Food and Beverage Stores,Food and Beverage,,,,,3.5,31.0
7 C’S Maintenance Company,7 C’s Maintenance Company,Tourism and Accommodation,Tourism and Accommodation,,,,,2.0,3.0
7-Eleven (Corporate Stores),7-Eleven (Corporate Stores),,,,,,,,
"7-Eleven, Inc.","7-Eleven, Inc.",Convenience Stores,Sales,XXXL,8.0,XXXL,8.0,3.5,15419.0
710 Labs,710 Labs,Pharmaceutical Industry,Pharmaceuticals and Biotechnology,,,,,2.5,17.0
"711 Materials, Inc.","711 Materials, Inc.",,,,,,,3.2,5.0
73Rd Solution,73rd Solution,Nursing Homes and Retirement Homes,Childcare and Elderly Care,,,,,,
75F,75F,Manufacturing,Product Manufacturing,XXXS,0.0,XS,2.0,2.0,1.0
7B Building & Development,7B Building & Development,"Construction, Repair, and Maintenance Services",Construction,,,,,,
80 Acres Farms,80 Acres Farms,Agrarian,Agrarian,,,M,4.0,3.9,15.0
84 Lumber Company,84 Lumber Company,Wood and Paper Manufacturing,Product Manufacturing,XXL,7.0,XXL,7.0,3.4,1212.0
84.51°,84.51°,,,S,3.0,M,4.0,4.1,10.0
8Ef - Bell Bank,8EF - Bell Bank,,,,,,,,
8Th Ave Food & Provisions,8th Ave Food & Provisions,,,,,,,,
8Th Light,8th Light,Software Development,Information Technology,,,S,3.0,,
"8X8, Inc.","8x8, Inc.",Telecommunications,Information Technology,M,4.0,XL,6.0,3.2,86.0
911 Health Inc,911 Health Inc,,,,,,,,
911 Health Inc.,911 Health Inc.,Medical Examinations and Clinical Laboratories,Health,,,,,,
"9290-Fcx Performance, Inc","9290-FCX Performance, Inc",,,,,,,,
95 Percent Group,95 Percent Group,,,XXS,1.0,XS,2.0,1.7,3.0
95 Percent Group Llc,95 PERCENT GROUP LLC,Education and Vocational Training,Education,,,,,,
960 Hammer Williams Company Corporate,960 Hammer Williams Company Corporate,,,,,,,,
99 Ranch Market,99 Ranch Market,Supermarkets,Food and Beverage,,,,,3.0,119.0
9Dot Education Solutions,9Dot Education Solutions,Human Resources,Human Resources,,,S,3.0,4.0,7.0
9Logic Technologies,9Logic Technologies,,,,,,,3.7,3.0
9Th Gear Technologies,9th Gear Technologies,,,,,XS,2.0,,
9Th Way Insignia,9th Way Insignia,Information Technology,Information Technology,,,M,4.0,4.7,33.0
@Branexgroup,@BranexGroup,Staffing and Outsourcing,Human Resources,,,,,,
@Properties,@properties,Real Estate Agencies,Real Estate,,,XL,6.0,4.1,43.0
A & A Metro Transportation,A & A Metro Transportation,Transportation and Logistics,Transportation and Logistics,,,S,3.0,3.1,44.0
A & A Plumbing Llc,A & A Plumbing LLC,,,,,,,,
"A & A Vending Co., Inc.","A & A Vending Co., Inc.",,,,,XS,2.0,,
A & D Engineering,A & D Engineering,"Construction, Repair, and Maintenance Services",Construction,,,,,5.0,1.0
A & T Systems Inc,A & T SYSTEMS INC,Telecommunications,Information Technology,,,,,,
A Beautiful Mind Inc.,A Beautiful Mind Inc.,,,,,,,,
A F Wendling Inc,A F Wendling Inc,,,,,,,,
A Fathers' Place,A Fathers' Place,Community Services,Government,,,,,3.5,2.0
A K Consulting Service,A K Consulting Service,,,,,,,,
A La C.A.R.T.E. Solutions,A La C.A.R.T.E. Solutions,Accounting and Taxes,Finance,,,,,,
A P Ventures Llc,A P Ventures LLC,,,,,,,,
A Path Forward,A Path Forward,Hospitals and Health Centers,Health,,,,,,
A Place For Mom,A Place For Mom,Personal Consumer Services,Sales,S,3.0,L,5.0,4.0,574.0
A Prentice Ray & Associates Llc,A Prentice Ray & Associates LLC,,,,,,,,
A Re Management Corp,A RE Management Corp,,,,,,,,
A Safe Haven Foundation,A Safe Haven Foundation,Community Services,Government,XS,2.0,S,3.0,3.5,70.0
A Slice Of Hr,A Slice of HR,Manufacturing,Product Manufacturing,,,XS,2.0,,
A&G Residential,A&G Residential,Construction,Construction,,,,,,
A&K Development,A&K Development,,,,,,,3.7,13.0
"A-1 Construction Specialty, Inc.","A-1 Construction Specialty, Inc.",,,,,,,,
A-C Central Cusd,A-C Central CUSD,,,,,,,,
A-C Electric Company,A-C Electric Company,,,,,,,,
A-Dec,A-dec,,,,,,,2.3,4.0
A-Gas Americas,A-Gas Americas,,,,,,,,
A-Max Insurance Services Inc,A-max Insurance Services Inc,,,,,,,,
"A-Tek, Inc.","A-TEK, Inc.",,,,,,,,
A. Agrati S.P.A,A. Agrati S.p.A,Machinery Manufacturing,Product Manufacturing,,,L,5.0,2.9,58.0
A. Duda & Sons Inc.,A. Duda & Sons Inc.,,,,,,,,
"A. Duie Pyle, Inc","A. Duie Pyle, Inc",Transportation and Logistics,Transportation and Logistics,L,5.0,XL,6.0,3.1,361.0
A. Merante Contracting,A. Merante Contracting,"Construction, Repair, and Maintenance Services",Construction,XS,2.0,XS,2.0,2.6,7.0
A. O. Smith Corporation,A. O. Smith Corporation,Electricity and Public Utilities,Government,XL,6.0,XXXL,8.0,3.5,400.0
"A.C.T. Metal Deck Supply, Inc","A.C.T. Metal Deck Supply, Inc",Wholesale and Retail Sales,Sales,,,,,4.0,2.0
"A.M. Best Company, Inc.","A.M. Best Company, Inc.",,,S,3.0,M,4.0,3.2,40.0
A.M.G.L.T.,A.M.G.L.T.,,,,,,,,
A.P. Moller - Maersk,A.P. Moller - Maersk,Transportation and Logistics,Transportation and Logistics,XXXL,8.0,XXXL,8.0,4.1,2979.0
"A.T. Meridian Construction, Llc","A.T. Meridian Construction, LLC",Construction,Construction,,,,,,
A/B Partners,A/B Partners,,,,,,,,
A10 Networks,A10 Networks,Information Technology,Information Technology,M,4.0,L,5.0,3.2,29.0
A123 Systems Llc,A123 Systems LLC,Manufacturing,Product Manufacturing,M,4.0,XL,6.0,3.3,129.0
A2F Consulting,A2F Consulting,Management and Consulting,Consulting,XXXS,0.0,XXXS,0.0,2.6,5.0
A3 Consulting,A3 Consulting,,,,,XS,2.0,2.0,1.0
A3 Missions Llc`,A3 Missions LLC`,Information Technology,Information Technology,,,S,3.0,,
"A3 Technology, Inc.","A3 Technology, Inc.",,,XS,2.0,S,3.0,4.1,18.0
A4,A4,,,,,M,4.0,1.7,3.0
"A9.Com, Inc.","A9.com, Inc.",Wholesale and Retail Sales,Sales,XXXL,8.0,XXXL,8.0,,
Aa Anderson & Co Inc,AA Anderson & CO INC,,,,,,,,
"Aa Transportation Co., Inc.","AA Transportation Co., Inc.",Transportation Management,Transportation and Logistics,,,,,,
Aaa Advanced Plumbing & Drain,AAA Advanced Plumbing & Drain,,,,,,,,
Aaa Club Alliance,AAA Club Alliance,Civic Associations,Nonprofit Organizations,M,4.0,XL,6.0,3.3,828.0
Aaa Cooper Transportation (Nd),AAA Cooper Transportation (ND),Transportation and Logistics,Transportation and Logistics,L,5.0,XL,6.0,3.2,492.0
Aaa Fire Protection Inc,AAA Fire Protection Inc,Construction,Construction,,,,,3.3,13.0
Aaa Heating & Cooling,AAA Heating & Cooling,Construction,Construction,,,,,3.8,4.0
Aaa Life Insurance Company,AAA Life Insurance Company,Insurance Companies,Insurance,L,5.0,L,5.0,3.2,94.0
Aaa National,AAA National,Civic Associations,Nonprofit Organizations,M,4.0,M,4.0,3.8,41.0
"Aaa Northern California, Nevada & Utah","AAA Northern California, Nevada & Utah",Civic Associations,Nonprofit Organizations,XL,6.0,XL,6.0,3.4,255.0
Aaa Texas,AAA Texas,Insurance,Insurance,XS,2.0,XXXL,8.0,3.2,166.0
Aaa The Auto Club Group,AAA The Auto Club Group,Insurance Companies and Investment Societies,Insurance,XL,6.0,XXXL,8.0,3.2,784.0
Aaa Washington,AAA Washington,Travel Agencies,Tourism and Accommodation,,,,,3.2,112.0
"Aaction Home Repairs And Restoration, Inc.","Aaction Home Repairs and Restoration, Inc.",Construction,Construction,,,,,,
Aaf - Power & Industrial,AAF - Power & Industrial,,,,,,,,
Aak International,AAK International,Manufacturing,Product Manufacturing,,,,,3.0,1.0
Aalis Management Consulting,Aalis Management Consulting,,,,,,,,
Aalpha Prime Tech Global,Aalpha Prime Tech Global,Software Development,Information Technology,,,,,,
Aalpha Tech Global,Aalpha Tech Global,Business Consulting,Consulting,,,,,,
"Aalyria Technologies, Inc","Aalyria Technologies, Inc",,,,,,,,
"Aam, Llc.","AAM, LLC.",,,,,,,2.8,4.0
Aam1,AAM1,,,,,,,,
Aam15 Management,AAM15 Management,Hotels and Resorts,Tourism and Accommodation,,,,,1.0,6.0
Aama,AAMA,Human Resources,Human Resources,,,,,3.8,15.0
Aamp,AAMP,,,,,,,,
Aanseacore Inc.,AANSEACORE INC.,IT Support,Information Technology,,,,,,
Aaos,AAOS,,,,,,,,
Aar Corp,AAR Corp,Aerospace and Defense,Government,XL,6.0,XXL,7.0,3.2,612.0
Aar Corp.,AAR Corp.,Aerospace and Defense,Government,XL,6.0,XXL,7.0,3.2,611.0
Aardvark Mobile Tours,Aardvark Mobile Tours,Management and Consulting,Consulting,XXS,1.0,XS,2.0,3.9,14.0
Aaron E. Henry Community Health Center,Aaron E. Henry Community Health Center,Hospitals and Health Centers,Health,,,,,2.8,13.0
Aaron'S,Aaron's,Wholesale and Retail Sales,Sales,XL,6.0,XXXL,8.0,3.1,4117.0
Aarp,AARP,NGOs and Nonprofit Organizations,Nonprofit Organizations,XL,6.0,XL,6.0,4.2,1324.0
Aavalar Consulting,AAVALAR Consulting,,,XS,2.0,XS,2.0,5.0,1.0
Ab Mauri Food Inc,Ab Mauri Food Inc,,,,,,,,
Ab2 Consulting Pvt Ltd,AB2 Consulting Pvt Ltd,,,,,,,4.0,1.0
Aba Autism Services,ABA Autism Services,Healthcare,Health,,,,,4.0,1.0
Aba Centers Of America,ABA Centers of America,Healthcare,Health,,,L,5.0,2.9,87.0
"Aba Kids Connection, Inc","ABA Kids Connection, Inc",Healthcare,Health,,,,,,
Aba Solutions For Autism Inc,ABA Solutions For Autism Inc,,,,,,,,
Aba Solutions Llc,ABA Solutions LLC,,,,,,,,
Aba Tech,ABA Tech,,,,,XS,2.0,,
Aba Therapy Of St Lucie,ABA Therapy of St Lucie,Healthcare,Health,,,,,,
Abaco Strategy Llc,Abaco Strategy LLC,,,,,,,,
Abacode,Abacode,,,XXS,1.0,XS,2.0,5.0,2.0
Abacode Inc,Abacode Inc,IT Support,Information Technology,,,,,,
Abaculus Consultancy Corp.,Abaculus Consultancy Corp.,Information Technology,Information Technology,,,,,,
Abacus Technology,Abacus Technology,Manufacturing,Product Manufacturing,M,4.0,L,5.0,3.6,388.0
Abacus.Ai,Abacus.AI,Internet and Web Services,Information Technology,,,,,,
Abal Technologies,ABAL Technologies,Advertising and Public Relations,Consulting,,,,,2.5,2.0
Abarca Health,Abarca Health,Healthcare,Health,,,M,4.0,3.4,36.0
Abasys Technologies(Ati),Abasys Technologies(ATI),,,,,,,,
Abb,ABB,Electricity and Public Utilities,Government,XXXL,8.0,XXXL,8.0,3.9,4724.0
"Abbott Jewelry Systems, Inc","Abbott Jewelry Systems, Inc",Information Technology,Information Technology,,,,,,
Abbott Laboratories,Abbott Laboratories,Healthcare,Health,XXXL,8.0,XXXL,8.0,3.9,5984.0
Abbvie,ABBVIE,Pharmaceuticals and Biotechnology,Pharmaceuticals and Biotechnology,XXXL,8.0,XXXL,8.0,3.9,1332.0
Abby Kelley Foster Charter Public School,Abby Kelley Foster Charter Public School,Primary and Secondary Schools,Education,XS,2.0,S,3.0,3.1,7.0
Abby Kelley Foster House,Abby Kelley Foster House,,,,,,,5.0,1.0
Abby'S House,Abby's House,,,,,,,4.2,5.0
Abc,ABC,Arts and Entertainment,Entertainment,XL,6.0,,,3.7,302.0
"Abc Asphalt, Inc.","ABC Asphalt, Inc.",Construction,Construction,,,,,,
Abc Bail Bonds,ABC BAIL BONDS,Legal Services,Legal,,,S,3.0,3.9,17.0
"Abc Coating, Inc.","ABC Coating, Inc.",,,,,,,,
Abc Companies,ABC COMPANIES,Automotive Industry,Automotive,XS,2.0,L,5.0,3.4,48.0
"Abc Financial Services, Inc.","ABC Financial Services, Inc.",Computer Equipment Development,Information Technology,,,L,5.0,3.4,206.0
Abc Fine Wine & Spirits,ABC Fine Wine & Spirits,Wholesale and Retail Sales,Sales,M,4.0,XL,6.0,3.3,450.0
Abc Motor Credit,ABC Motor Credit,Auto Parts Stores,Sales,,,,,2.9,14.0
Abc Stores,ABC Stores,General Merchandise and Megastores,Sales,,,,,4.1,53.0
Abc Technologies,ABC Technologies,Automotive Industry,Automotive,,,XXL,7.0,3.0,183.0
Abclonal Technology,ABclonal Technology,,,,,S,3.0,,
Abco Automation Inc,ABCO Automation Inc,Machinery Manufacturing,Product Manufacturing,,,,,3.2,21.0
"Abcs, Inc.","ABCS, Inc.",,,XXS,1.0,XS,2.0,5.0,1.0
Abc® Supply Co. Inc.,ABC® Supply Co. Inc.,,,,,,,,
Abel Hr Inc,Abel HR Inc,,,,,,,,
Aber Fence & Supply Co. Inc,Aber Fence & Supply Co. Inc,Construction,Construction,,,,,,
Abercrombie And Fitch Co.,Abercrombie and Fitch Co.,Wholesale and Retail Sales,Sales,XL,6.0,XXXL,8.0,3.5,5253.0
Abett,Abett,,,,,,,,
Abettor.Io,abettor.io,Software Development,Information Technology,,,,,,
Abi,ABI,"Construction, Repair, and Maintenance Services",Construction,XXS,1.0,XS,2.0,4.0,136.0
"Abile Group, Inc.","Abile Group, Inc.",Consulting and Business Services,Consulting,,,XS,2.0,5.0,10.0
Abilene Christian University,Abilene Christian University,Education,Education,M,4.0,L,5.0,4.2,91.0
Abilities In Motion,Abilities in Motion,NGOs and Nonprofit Organizations,Nonprofit Organizations,,,S,3.0,3.1,57.0
Ability Kc,Ability KC,,,,,S,3.0,3.2,21.0
Abiomed,Abiomed,Healthcare,Health,M,4.0,XL,6.0,3.7,58.0
Able,ABLE,Aerospace and Defense,Government,XL,6.0,XXXL,8.0,3.9,848.0
"Able Health Care Service, Inc.","Able Health Care Service, Inc.",Healthcare,Health,XS,2.0,S,3.0,3.7,7.0
"Able Recovery, Llc","Able Recovery, LLC",Hospitals and Health Centers,Health,,,,,4.0,2.0
Ablenet,AbleNet,Healthcare,Health,XS,2.0,XS,2.0,3.4,7.0
Ableto,AbleTo,Healthcare,Health,M,4.0,L,5.0,3.4,214.0
Abm Industries,ABM Industries,"Construction, Repair, and Maintenance Services",Construction,XXL,7.0,XXXL,8.0,3.2,10822.0
Abm Mechanical,ABM Mechanical,Industrial Equipment Services,Product Manufacturing,,,S,3.0,4.5,6.0
Abn Tech Corp,ABN Tech Corp,,,,,,,,
Abnb Federal Credit Union,ABNB Federal Credit Union,Finance,Finance,XS,2.0,M,4.0,2.9,54.0
Abnormal Security,Abnormal Security,Information Technology,Information Technology,,,M,4.0,,
Aboda Inc,ABODA INC,,,,,,,,
Abode Techzone Llc,Abode Techzone LLC,Telecommunications,Information Technology,,,,,,
"Abonmarche Consultants, Inc","Abonmarche Consultants, INC",Architecture and Engineering,Construction,XS,2.0,S,3.0,3.0,9.0
Abotts Consulting,Abotts consulting,IT Support,Information Technology,,,,,,
Abound Health,Abound Health,,,S,3.0,XL,6.0,3.5,201.0
About Alto,About Alto,,,,,,,,
Above Lending,Above Lending,Finance,Finance,,,,,2.5,8.0
Abpro,abpro,Biotechnology,Pharmaceuticals and Biotechnology,,,,,4.0,2.0
Abrasive Form Llc,Abrasive Form LLC,Aerospace and Defense,Government,XS,2.0,M,4.0,3.3,43.0
Abrdn,abrdn,,,,,,,,
Abrigo,Abrigo,Software Development,Information Technology,XS,2.0,S,3.0,3.3,8.0
Abs Consulting,ABS Consulting,Management and Consulting,Consulting,,,,,4.1,47.0
Absci,Absci,Biotechnology,Pharmaceuticals and Biotechnology,,,M,4.0,1.7,3.0
Absencesoft Llc,AbsenceSoft LLC,,,,,,,,
Absolute Business Solutions Corp,Absolute Business Solutions Corp,Furniture and Home Goods Stores,Sales,,,M,4.0,3.3,46.0
Absolute Electrical Contracting And Design,Absolute Electrical Contracting and Design,Construction,Construction,,,,,,
Absolute It,Absolute IT,,,,,XS,2.0,2.0,2.0
Absolute Software,Absolute Software,,,,,,,3.0,7.0
Absolutecare Medical And Pharmacy,AbsoluteCARE Medical and Pharmacy,Healthcare,Health,,,L,5.0,2.8,30.0
Absorb Software,Absorb Software,Information Technology,Information Technology,S,3.0,M,4.0,3.7,14.0
Abt Associates,Abt Associates,Audiovisual and Media Communications,Media Communications,M,4.0,XL,6.0,3.6,262.0
Abt Jta,Abt JTA,Management and Consulting,Consulting,,,,,4.0,2.0
Abx Air,ABX Air,Transportation and Logistics,Transportation and Logistics,XL,6.0,L,5.0,4.0,454.0
Ac Disaster Consulting,AC Disaster Consulting,Management and Consulting,Consulting,,,,,3.9,15.0
Ac Home,AC HOME,,,,,,,4.0,1.0
Ac Hotel Beverly Hills,AC Hotel Beverly Hills,Tourism and Accommodation,Tourism and Accommodation,,,,,5.0,1.0
Ac Hotel By Marriott Waco Downtown,AC Hotel by Marriott Waco Downtown,,,,,,,,
Ac Hotel Cincinnati Downtown At The Banks,AC Hotel Cincinnati Downtown at The Banks,,,,,,,,
